t_max,y_ball,y_line,t_pretrial,t_windup,t_feedback,timing_tol,t_prep,ball_color,block_key,choice,t_choice,correct_choice,good_timing,id,datetime,block
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4676417999999899,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5605174999999974,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5242095000000063,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5107648000000268,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4638257999999894,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5940404999999999,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.48896469999999115,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5394996999999876,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5757713000000081,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5776423000000023,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5070668000000126,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4802555999999868,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5308579000000236,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4874607000000083,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.499399300000016,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5844816000000265,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.36360480000001305,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5116829000000053,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.3673333000000071,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5014650000000188,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.3527054000000135,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5753800000000183,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5765876999999705,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,-0.03458839999999552,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4607795999999894,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.508698899999979,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.37491839999997867,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4929022999999916,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5493133000000171,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4731228000000215,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4138406000000373,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,-0.31162350000003014,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,-0.48129320000001596,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.3823939000000337,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.3877065000000016,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.28106339999995955,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.31697899999996937,0,0,116,191121_162108,1
